智悲,,,,,,,,,,
 届别,课程,类别,统计方式,传承,法本,共修,次数,时长,总时长,共修时间
前行,二规教言01,主修,共修,1,1,1,0,0,0,6/1/2016
前行,二规教言02,主修,共修,1,1,1,0,0,0,6/6/2016
前行,二规教言03,主修,共修,1,1,1,0,0,0,6/11/2016
前行,二规教言04,主修,共修,1,1,1,0,0,0,6/16/2016
前行,二规教言05,主修,共修,1,1,1,0,0,0,6/21/2016
前行,二规教言06,主修,共修,1,1,1,0,0,0,6/26/2016
前行,二规教言07,主修,共修,1,1,1,0,0,0,7/1/2016
前行,二规教言08,主修,共修,1,1,1,0,0,0,7/6/2016
前行,二规教言09,主修,共修,1,1,1,0,0,0,7/11/2016
前行,二规教言10,主修,共修,1,1,1,0,0,0,7/16/2016
前行,二规教言11,主修,共修,1,1,1,0,0,0,7/21/2016
前行,二规教言12,主修,共修,1,1,1,0,0,0,7/26/2016
前行,怎样面对痛苦,主修,共修,1,1,1,0,0,0,7/31/2016
前行,金钱，到底有多值钱,主修,共修,1,1,1,0,0,0,8/5/2016
前行,问佛陀情为何物,主修,共修,1,1,1,0,0,0,8/10/2016
前行,幸福的根本是心,主修,共修,1,1,1,0,0,0,8/15/2016
前行,科技发达时代的佛法教育,主修,共修,1,1,1,0,0,0,8/20/2016
前行,佛法的生命科学观,主修,共修,1,1,1,0,0,0,8/25/2016
前行,来世生命及往生净土,主修,共修,1,1,1,0,0,0,8/30/2016
前行,信心是最好的财富,主修,共修,1,1,1,0,0,0,9/4/2016
前行,初学者不应视师如佛,主修,共修,1,1,1,0,0,0,9/9/2016
前行,有十种事情不能做,主修,共修,1,1,1,0,0,0,9/14/2016
前行,略说忏罪,主修,共修,1,1,1,0,0,0,9/19/2016
前行,让你重新认识佛教,主修,共修,1,1,1,0,0,0,9/24/2016
前行,怎么样学佛,主修,共修,1,1,1,0,0,0,9/29/2016
前行,佛教的未来需要你我,主修,共修,1,1,1,0,0,0,10/4/2016
前行,如何寻找大乘的方向,主修,共修,1,1,1,0,0,0,10/9/2016
前行,三殊胜,主修,共修,1,1,1,0,0,0,10/14/2016
前行,再谈放生,主修,共修,1,1,1,0,0,0,10/19/2016
前行,为临终者献爱心,主修,共修,1,1,1,0,0,0,10/24/2016
前行,以佛法利益亡者,主修,共修,1,1,1,0,0,0,10/29/2016
前行,观音心咒之功德,主修,共修,1,1,1,0,0,0,11/3/2016
前行,什么是密宗,主修,共修,1,1,1,0,0,0,11/8/2016
前行,胜利道歌讲记第1课,主修,共修,1,1,1,0,0,0,11/13/2016
前行,胜利道歌讲记第2课,主修,共修,1,1,1,0,0,0,11/18/2016
前行,前行之重要性,主修,共修,1,1,1,0,0,0,12/1/2016
前行,《上师瑜伽速赐加持》讲记,主修,共修,1,1,1,0,0,0,12/8/2016
前行,前行广释001,主修,共修,1,1,1,0,0,0,12/15/2016
前行,前行广释002,主修,共修,1,1,1,0,0,0,12/22/2016
前行,前行广释003,主修,共修,1,1,1,0,0,0,12/29/2016
前行,前行广释004,主修,共修,1,1,1,0,0,0,1/5/2017
前行,前行广释005,主修,共修,1,1,1,0,0,0,1/12/2017
前行,前行广释006,主修,共修,1,1,1,0,0,0,1/19/2017
前行,前行广释007,主修,共修,1,1,1,0,0,0,1/26/2017
前行,前行广释008,主修,共修,1,1,1,0,0,0,2/2/2017
前行,前行广释009,主修,共修,1,1,1,0,0,0,2/9/2017
前行,前行广释010,主修,共修,1,1,1,0,0,0,2/16/2017
前行,前行广释011,主修,共修,1,1,1,0,0,0,2/23/2017
前行,前行广释012,主修,共修,1,1,1,0,0,0,3/2/2017
前行,前行广释013,主修,共修,1,1,1,0,0,0,3/9/2017
前行,前行广释014,主修,共修,1,1,1,0,0,0,3/16/2017
前行,前行广释015,主修,共修,1,1,1,0,0,0,3/23/2017
前行,前行广释016,主修,共修,1,1,1,0,0,0,3/30/2017
前行,前行广释017,主修,共修,1,1,1,0,0,0,4/6/2017
前行,前行广释018,主修,共修,1,1,1,0,0,0,4/13/2017
前行,前行广释019,主修,共修,1,1,1,0,0,0,4/20/2017
前行,前行广释020,主修,共修,1,1,1,0,0,0,4/27/2017
前行,前行广释021,主修,共修,1,1,1,0,0,0,5/4/2017
前行,前行广释022,主修,共修,1,1,1,0,0,0,6/1/2017
前行,前行广释023,主修,共修,1,1,1,0,0,0,6/8/2017
前行,前行广释024,主修,共修,1,1,1,0,0,0,6/15/2017
前行,前行广释025,主修,共修,1,1,1,0,0,0,6/22/2017
前行,前行广释026,主修,共修,1,1,1,0,0,0,6/29/2017
前行,前行广释027,主修,共修,1,1,1,0,0,0,7/6/2017
前行,前行广释028,主修,共修,1,1,1,0,0,0,7/13/2017
前行,前行广释029,主修,共修,1,1,1,0,0,0,7/20/2017
前行,前行广释030,主修,共修,1,1,1,0,0,0,7/27/2017
前行,前行广释031,主修,共修,1,1,1,0,0,0,8/3/2017
前行,前行广释032,主修,共修,1,1,1,0,0,0,8/10/2017
前行,前行广释033,主修,共修,1,1,1,0,0,0,8/17/2017
前行,前行广释034,主修,共修,1,1,1,0,0,0,8/24/2017
前行,前行广释035,主修,共修,1,1,1,0,0,0,8/31/2017
前行,前行广释036,主修,共修,1,1,1,0,0,0,9/7/2017
